species group name	protonym	 Author
nipponensis	Acropyga (Atopodon) nipponensis 	Terayama, 1985b: 287
occipitalis	Acropyga moluccana var. occipitalis 	Stitz, 1912: 510
oceanica	Acropyga (Rhizomyrma) oceanica 	Emery, 1900c: 333
oko	Acropyga (Rhizomyrma) oko 	Weber, 1944: 119
opaca	Acropyga moluccana var. opaca 	Stitz, 1911a: 370 
oreithauma	Acropyga oreithauma 	LaPolla, Williams & Fan, 2017: 2
pachycera	Rhizomyrma pachycera 	Emery, 1906c: 182 
palaga	Acropyga palaga 	LaPolla, 2004a: 54
paleartica	Acropyga (Rhizomyrma) paleartica 	Menozzi, 1936d: 298
pallida	Bothriomyrmex pallidus 	Donisthorpe, 1938d: 598 
paludis	Acropyga (Rhizomyrma) paludis 	Weber, 1944: 121
panamensis	Acropyga (Rhizomyrma) panamensis 	Weber, 1944: 113
papuana	Acropyga (Acropyga) moluccana subsp. papuana 	Mann, 1919: 364 
paramaribensis	Acropyga paramaribensis 	Borgmeier, 1933c: 263 
parvidens	Rhizomyrma parvidens 	Wheeler, W.M. & Mann, 1914: 46 
pickeli	Acropyga (Rhizomyrma) pickeli 	Borgmeier, 1927a: 287
quadriceps	Acropyga (Rhizomyrma) quadriceps 	Weber, 1944: 113
rhodesiana	Acropyga (Malacomyrma) rhodesiana 	Santschi, 1928f: 211 
robae	Acropyga (Rhizomyrma) robae 	Donisthorpe, 1936b: 108
romeo	Acropyga romeo 	LaPolla, 2004a: 57
rubens	Acropyga acutiventris subsp. rubens 	Forel, 1911e: 286 
rubescens	Acropyga acutiventris var. rubescens 	Forel, 1894c: 418 
rutgersi	Acropyga (Rhizomyrma) rutgersi 	Bünzli, 1935: 464
sauteri	Acropyga (Rhizomyrma) sauteri 	Forel, 1912a: 72 
septemstruma	Acropyga (Rhizomyrma) septemstruma 	Terayama, Fellowes & Zhou, 2002: 24
silvestrii	Acropyga silvestrii 	Emery, 1915g: 21
silvestrii	Acropyga (Rhizomyrma) silvestrii 	Wheeler, W.M. 1927h: 100
smithii	Acropyga (Rhizomyrma) smithii 	Forel, 1893g: 349 
stenotes	Acropyga stenotes 	LaPolla, 2004a: 79
termitobia	Acropyga (Atopodon) termitobia 	Forel, 1912m: 773 
tricuspis	Acropyga tricuspis 	LaPolla, 2004a: 59
tridentata	Rhizomyrma goeldii var. tridentata 	Forel, 1912i: 61 
trinitatis	Acropyga (Rhizomyrma) trinitatis 	Weber, 1944: 117
undecemus	Pseudolasius undecemus 	Donisthorpe, 1949c: 756 
urichi	Acropyga (Rhizomyrma) urichi 	Weber, 1944: 115
wheeleri	Acropyga (Rhizomyrma) wheeleri 	Mann, 1922: 52 
yaeyamensis	Acropyga (Rhizomyrma) yaeyamensis 	Terayama & Hashimoto, 1996: 5
yunnanensis	Acropyga (Rhizomyrma) yunnanensis 	Terayama, Fellowes & Zhou, 2002: 27
yushi	Acropyga yushi 	Terayama, 2009: 205
biroi	Adelomyrmex biroi 	Emery, 1897c: 590
bispeculum	Adelomyrmex bispeculum 	Longino, 2012: 13
brevispinosus	Adelomyrmex brevispinosus 	Fernández, in Fernández & Mackay, 2003: 596
coco	Adelomyrmex coco 	Longino, 2012: 15
costatus	Adelomyrmex costatus 	Fernández, 2003b: 17
dentivagans	Adelomyrmex dentivagans 	Longino, 2012: 17
foveolatus	Adelomyrmex foveolatus 	Fernández, in Fernández & Mackay, 2003: 599
grandis	Adelomyrmex grandis 	Fernández, 2003b: 18
hirsutus	Adelomyrmex (Arctomyrmex) hirsutus 	Mann, 1921: 458
laevigatus	Adelomyrmex laevigatus 	Mackay, in Fernández & Mackay, 2003: 600
longinoi	Adelomyrmex longinoi 	Fernández, 2003b: 21 
mackayi	Adelomyrmex mackayi 	Fernández, 2003b: 22 
marginodus	Adelomyrmex marginodus 	Longino, 2012: 20
metzabok	Adelomyrmex metzabok 	Longino, 2012: 22
micans	Adelomyrmex micans 	Fernández, in Fernández & Mackay, 2003: 601 
microps	Adelomyrmex microps 	Fernández, in Fernández & Mackay, 2003: 602
minimus	Adelomyrmex minimus 	Fernández, in Fernández & Mackay, 2003: 602 
myops	Apsychomyrmex myops 	Wheeler, W.M. 1910a: 261
samoanus	Adelomyrmex (Arctomyrmex) samoanus 	Wilson & Taylor, 1967: 77
silvestrii	Apsychomyrmex silvestrii 	Menozzi, 1931b: 270
striatus	Adelomyrmex striatus 	Fernández, 2003b: 29
tristani	Apsychomyrmex tristani 	Menozzi, 1931b: 269
vaderi	Adelomyrmex vaderi 	Fernández, 2003b: 33
aureocuprea	Adetomyrma aureocuprea 	Yoshimura & Fisher, 2012b: 10
bressleri	Adetomyrma bressleri 	Yoshimura & Fisher, 2012b: 12
caputleae	Adetomyrma caputleae 	Yoshimura & Fisher, 2012b: 17
cassis	Adetomyrma cassis 	Yoshimura & Fisher, 2012b: 19
caudapinnigera	Adetomyrma caudapinniger 	Yoshimura & Fisher, 2012b: 20
cilium	Adetomyrma cilium 	Yoshimura & Fisher, 2012b: 20
clarivida	Adetomyrma clarivida 	Yoshimura & Fisher, 2012b: 21
goblin	Adetomyrma goblin 	Yoshimura & Fisher, 2012b: 22
venatrix	Adetomyrma venatrix 	Ward, 1994: 161
froggatti	Monomorium (Adlerzia) froggatti 	Forel, 1902h: 445 
katerinae	Stenothorax katerinae 	McAreavey, 1949: 3
silvestrii	Machomyrma silvestrii 	Emery, 1914b: 182
attenuatus	Aenictogiton elongatus var. attenuatus 	Santschi, 1919c: 247
bequaerti	Aenictogiton bequaerti 	Forel, 1913b: 314 
elongatus	Aenictogiton elongatus 	Santschi, 1919c: 246
emeryi	Aenictogiton emeryi 	Forel, 1913b: 315 
fossiceps	Aenictogiton fossiceps 	Emery, 1901d: 49
schoutedeni	Aenictogiton schoutedeni 	Santschi, 1924b: 198
sulcatus	Aenictogiton sulcatus 	Santschi, 1919c: 247
abeillei	Alaopone abeillei 	André, 1886: 855 
acerbus	Aenictus acerbus 	Shattuck, 2008c: 4
aitkenii	Aenictus aitkenii 	Forel, 1901a: 475 
alluaudi	Aenictus bottegoi var. alluaudi 	Santschi, 1910g: 754
alticola	Aenictus (Typhlatta) alticola 	Wheeler, W.M. & Chapman, in Wheeler, W.M. 1930g: 205
ambiguus	Aenictus ambiguus 	Shuckard, 1840b: 268 
anceps	Aenictus bottegoi subsp. anceps 	Forel, 1910c: 249 
andrieui	Aenictus furculatus st. andrieui 	Santschi, 1930a: 56
arabicus	Aenictus arabicus 	Sharaf & Aldawood, in Sharaf, Aldawood & El Hawagry, 2012b: 42
aratus	Aenictus aratus 	Forel, 1900b: 74 
artipus	Aenictus artipus 	Wilson, 1964a: 449
arya	Aenictus arya 	Forel, 1901a: 472 
asantei	Aenictus asantei 	Campione, Novak & Gotwald, 1983: 873
asiatica	Aenictus aratus var. asiatica 	Forel, 1911h: 453 
ashaverus	Aenictus gibbosus r. ashaverus 	Forel, 1913k: 22 
asperivalvus	Aenictus asperivalvus 	Santschi, 1919b: 233 
atripennis	Aenictus clavatus r. atripennis 	Forel, 1913k: 24 
bakeri	Aenictus bakeri 	Menozzi, 1925c: 439
baliensis	Aenictus baliensis 	Jaitrong & Yamane, 2013: 174
batesi	Aenictus batesi 	Forel, 1911e: 255 
bayoni	Aenictus bayoni 	Menozzi, 1933a: 94
bengalensis	Typhlatta bengalensis 	Mayr, 1879: 669 
bidentatus	Aenictus (Aenictus) bidentatus 	Donisthorpe, 1942e: 701 
binghamii	Aenictus binghaniri 	Forel, 1900b: 76 
biroi	Aenictus biroi 	Forel, 1907a: 10 
bobaiensis	Aenictus bobaiensis 	Zhou & Chen, 1999: 64
bodongjaya	Aenictus bodongjaya 	Jaitrong & Yamane, 2011: 30
boelianensis	Aenictus martini var. boelianensis 	Forel, 1913k: 20 
bottegoi	Aenictus bottegoi 	Emery, 1899a: 499
brazzai	Aenictus eugenii var. brazzai 	Santschi, 1910c: 355 
breviceps	Aenictus fergusoni var. breviceps 	Forel, 1912d: 105 
brevicornis	Typhlatta brevicornis 	Mayr, 1879: 669 
buttgenbachi	Aenictus buttgenbachi 	Forel, 1913b: 313 
camposi	Aenictus camposi 	Wheeler, W.M. & Chapman, 1925: 48
caroli	Aenictus eugenii subsp. caroli 	Forel, 1910c: 248 
carolianus	Aenictus carolianus 	Zettel & Sorger, 2010b: 121
certus	Aenictus certus 	Westwood, 1842: 79 
changmaianus	Aenictus changmaianus 	Terayama & Kubota, 1993: 68
chapmani	Aenictus chapmani 	Wilson, 1964a: 456
chevalieri	Aenictus humeralis var. chevalieri 	Santschi, 1910g: 754 
clavatus	Aenictus clavatus 	Forel, 1901a: 471 
clavitibia	Aenictus clavitibia 	Forel, 1901a: 472 
concavus	Aenictus concavus 	Jaitrong & Yamane, 2013: 178
congolensis	Aenictus rixator var. congolensis 	Santschi, 1911g: 207 
continuus	Aenictus bengalensis var. continuus 	Forel, 1901a: 476 
cornutus	Aenictus cornutus 	Forel, 1900b: 75 
crucifer	Aenictus crucifer 	Santschi, 1914b: 68
currax	Aenictus currax 	Emery, 1900c: 310
cylindripetiolus	Aenictus cylindripetiolus 	Jaitrong & Yamane, 2013: 180
dentatus	Aenictus aitkeni var. dentata 	Forel, 1911d: 383 
deuqueti	Aenictus deuqueti 	Crawley, 1923b: 177 
diclops	Aenictus diclops 	Shattuck, 2008c: 8
dlusskyi	Aenictus dlusskyi 	Arnol'di, 1968: 1800
doryloides	Aenictus doryloides 	Wilson, 1964a: 460
doydeei	Aenictus doydeei 	Jaitrong & Yamane, in Jaitrong, et al. 2011: 319
duengkaei	Aenictus duengkaei 	Jaitrong & Yamane, 2012: 55
eugenii	Aenictus eugenii 	Emery, 1895h: 17
exiguus	Aenictus exiguus 	Clark, 1934b: 21
exilis	Aenictus exilis 	Wilson, 1964a: 462
facetus	Aenictus clavitibia subsp. facetus 	Forel, 1911b: 196 
falcifer	Aenictus alluaudi var. falcifer 	Santschi, 1924b: 203
feae	Aenictus feae 	Emery, 1889b: 486
fergusoni	Aenictus fergusoni 	Forel, 1901a: 473 
foreli	Aenictus foreli 	Santschi, 1919b: 234 
formosensis	Aenictus ceylonicus var. formosensis 	Forel, 1913f: 188 
fraterculus	Aenictus (Aenictus) aratus subsp. nesiotis var. fraterculus 	Wheeler, W.M. & Chapman, in Wheeler, W.M. 1930g: 209 
fuchuanensis	Aenictus fuchuanensis 	Zhou, 2001b: 59
fulvus	Aenictus fulvus 	Jaitrong & Yamane, 2011: 34
fumatus	Aenictus latiscapus var. fumatus 	Wheeler, W.M. 1927d: 1 
furculatus	Aenictus forculatus 	Santschi, 1919b: 233 
furibundus	Aenictus furibundus 	Arnold, 1959: 335
fuscovarius	Aenictus fuscovarius 	Gerstäcker, 1859: 262 
gatesi	Aenictus binghami var. gatesi 	Wheeler, W.M. 1927b: 42 
gibbosus	Aenictus gibbosus 	Emery, in Dalla Torre, 1893: 7 
glabratus	Aenictus glabratus 	Jaitrong & Nur-Zati, 2010: 450
gonioccipus	Aenictus gonioccipus 	Jaitrong & Yamane, 2013: 190
gracilis	Aenictus gracilis 	Emery, 1893e: 187
grandis	Aenictus grandis 	Bingham, 1903: 11
greeni	Aenictus greeni 	Bingham, 1903: 11 
guineensis	Aenictus rotundatus st. guineensis 	Santschi, 1924b: 204
hamifer	Aenictus hamifer 	Emery, 1896i: 153
henanensis	Aenictus henanensis 	Li & Wang, 2005: 157 
henrii	Aenictus eugenii var. henrii 	Santschi, 1924b: 204 
hilli	Aenictus hilli 	Clark, 1928a: 38
hodgsoni	Aenictus fergusoni var. hodgsoni 	Forel, 1901a: 474 
hoelldobleri	Aenictus hoelldobleri 	Staab, 2015: 142
hottai	Aenictus hottai 	Terayama & Yamane, 1989: 598
humeralis	Aenictus humeralis 	Santschi, 1910g: 752
huonicus	Aenictus huonicus 	Wilson, 1964a: 465
icarus	Aenictus icarus 	Forel, 1911b: 197 
