species group name	protonym	 Author
678: navarroi	Acromyrmex rugosus var. navarroi 	Borgmeier, 1937b: 249 
679: niger	Oecodoma nigra 	Smith, F. 1858b: 186 
680: nigripes	Acromyrmex lundi st. boliviensis var. nigripes 	Santschi, 1929d: 304 
681: nigrosetosus	Atta (	Acromyrmex) nigrosetosa Forel, 1908c: 350 
683: nivalis	Acromyrmex (	Moellerius) landolti var. nivalis Santschi, 1922b: 362 
684: nobilis	Acromyrmex (	Acromyrmex) nobilis Santschi, 1939e: 317 
685: obscurior	Acromyrmex coronatus st. moelleri var. obscurior 	Santschi, 1925d: 240 
686: ochraceolus	Acromyrmex coronatus st. ochraceolus 	Santschi, 1925a: 365
687: octospinosus	Formica octospinosa 	Reich, 1793: 132 
690: ogloblini	Acromyrmex subterraneus var. ogloblini 	Santschi, 1933e: 121 
691: ornatus	Acromyrmex coronatus st. ochraceolus var. ornatus 	Santschi, 1925a: 365 
692: pallida	Oecodoma pallida 	Smith, F. 1858b: 187 
693: pallida	Acromyrmex octospinosa var. pallida 	Crawley, 1921: 92 
694: pampanus	Acromyrmex (	Moellerius) balzani subsp. pampanus Weber, 1938b: 200 
696: parens	Acromyrmex (	Moellerius) landolti var. parens Santschi, 1925d: 239 
698: pencosensis	Acromyrmex lobicornis var. pencosensis 	Forel, 1914d: 282 
699: peruvianus	Acromyrmex (	Acromyrmex) subterraneus var. peruvianus Borgmeier, 1940: 606 
700: planorum	Acromyrmex (	Moellerius) balzani subsp. planorum Weber, 1937: 409 
701: pruinosior	Acromyrmex lobicornis var. pruinosior 	Santschi, 1916e: 388
702: pubescens	Atta (	Acromyrmex) pubescens Emery, 1905c: 51
703: pulchella	Acromyrmex nigrosetosa st. pulchella 	Santschi, 1925b: 18 
704: pulvereus	Acromyrmex (	Moellerius) pulvereus Santschi, 1919f: 52 
705: purensis	Atta (	Acromyrmex) subterranea var. purensis Forel, 1912e: 181 
706: rectispinus	Atta (	Acromyrmex) moelleri subsp. rectispina Forel, 1908b: 41 
707: risii	Atta (	Acromyrmex) lundii var. risii Forel, 1908c: 350
708: rochai	Atta (	Acromyrmex) rugosus var. rochai Forel, 1904c: 34 
709: rufescens	Acromyrmex hispidus st. formosus var. rufescens 	Santschi, 1925a: 377
710: rufidens	Acromyrmex lobicornis var. rufidens 	Santschi, 1933e: 120 
711: rugosus	Oecodoma rugosa 	Smith, F. 1858b: 186 
713: rusticus	Acromyrmex crassispinus st. rusticus 	Santschi, 1925a: 375 
714: santschii	Atta (	Acromyrmex) aspersa var. santschii Forel, 1912e: 182 
715: senex	Acromyrmex (	Moellerius) balzani var. senex Santschi, 1925a: 389 
716: silvestrii	Atta (	Moellerius) silvestrii Emery, 1905c: 42 
717: striatus	Atta striata 	Roger, 1863a: 202 
718: subterraneus	Atta (	Acromyrmex) subterranea Forel, 1893e: 593 
723: vestitus	Acromyrmex rugosus var. vestitus 	Santschi, 1925a: 380 
724: volcanus	Acromyrmex octospinosus subsp. volcanus 	Wheeler, W.M. 1937c: 73 
727: ayanganna	Acropyga ayanganna 	LaPolla, 2004a: 71
729: berwicki	Acropyga (	Rhizomyrma) berwicki Wheeler, W.M. 1935f: 325
730: borgmeieri	Acropyga (	Rhizomyrma) borgmeieri Donisthorpe, 1939c: 153 
731: bruchi	Acropyga (	Rhizomyrma) bruchi Santschi, 1929d: 308 
732: bugnioni	Acropyga acutiventris subsp. bugnioni 	Forel, 1911i: 226 
733: butteli	Acropyga (	Atopodon) butteli Forel, 1912m: 772 
734: carinata	Acropyga acutiventris var. carinata 	Karavaiev, 1933a: 310 
735: columbica	Rhizomyrma goeldii var. columbica 	Forel, 1912i: 61 
736: crassicornis	Acropyga crassicornis 	Emery, 1900d: 698 
737: decedens	Brachymyrmex decedens 	Mayr, 1887: 521 
738: distinguenda	Acropyga (	Atopodon) distinguenda Karavaiev, 1935a: 110
739: donisthorpei	Acropyga (	Rhizomyrma) donisthorpei Weber, 1944: 118
740: dubia	Acropyga (	Rhizomyrma) dubia Karavaiev, 1933a: 311
741: dubitata	Rhizomyrma dubitata 	Wheeler, W.M. & Mann, 1914: 47 
743: epedana	Acropyga epedana 	Snelling, R.R. 1973a: 7
744: exsanguis	Rhizomyrma exsanguis 	Wheeler, W.M. 1909b: 238 
746: flava	Plagiolepis flava 	Mayr, 1862: 699 
747: fuhrmanni	Rhizomyrma fuhrmanni 	Forel, 1914e: 12 
748: gelasis	Acropyga gelasis 	LaPolla, 2004a: 62
749: goeldii	Acropyga (	Rhizomyrma) goeldii Forel, 1893g: 348 
750: gowdeyi	Acropyga gowdeyi 	Gowdey, 1917: 187 UGANDA
751: guangxiensis	Acropyga (	Rhizomyrma) guangxiensis Terayama, Fellowes & Zhou, 2002: 23
752: guianensis	Acropyga (	Rhizomyrma) guianensis Weber, 1944: 120
753: hirsutula	Acropyga hirsutula 	LaPolla, 2004a: 52
754: hystrix	Acropyga hystrix 	LaPolla, 2004a: 63
755: indistincta	Acropyga indistincta 	Crawley, 1923b: 178 
